LOCATION,TIME,Value
ISL,2013-Q1,4.364750343
ISL,2013-Q2,4.549940909
ISL,2013-Q3,3.628382746
ISL,2013-Q4,5.64586839
ISL,2014-Q1,1.924687884
ISL,2014-Q2,0.361291152
ISL,2014-Q3,4.15867896
ISL,2014-Q4,0.3576003
ISL,2015-Q1,1.518408163
ISL,2015-Q2,7.783196254
ISL,2015-Q3,3.263728572
ISL,2015-Q4,5.196167415
ISL,2016-Q1,3.912379621
ISL,2016-Q2,4.64346693
ISL,2016-Q3,7.338249816
ISL,2016-Q4,9.165672981
ISL,2017-Q1,8.060298253
ISL,2017-Q2,4.575598553
ISL,2017-Q3,2.368120258
ISL,2017-Q4,2.164690382
ISL,2018-Q1,6.970985915
ISL,2018-Q2,5.30918915
ISL,2018-Q3,4.628944084
ISL,2018-Q4,2.773902609
ISL,2019-Q1,4.128624618
ISL,2019-Q2,1.745841642
ISL,2019-Q3,0.814514108
ISL,2019-Q4,3.015785323
ISL,2020-Q1,-4.058877468
ISL,2020-Q2,-10.831659308
ISL,2020-Q3,-7.469530331
ISL,2020-Q4,-5.960508432
ISL,2021-Q1,-2.938226368
ISL,2021-Q2,10.002451321
ISL,2021-Q3,6.970821694
ISL,2021-Q4,3.927250623
IRL,2008-Q1,-2.735871342
IRL,2008-Q2,-3.694435743
IRL,2008-Q3,-1.963934188
IRL,2008-Q4,-9.812776385
IRL,2009-Q1,-6.922566152
IRL,2009-Q2,-5.028764247
IRL,2009-Q3,-5.547283081
IRL,2009-Q4,-2.687945169
IRL,2010-Q1,-0.299861288
IRL,2010-Q2,0.322584096
IRL,2010-Q3,2.188358757
IRL,2010-Q4,3.008036908
IRL,2011-Q1,0.804573379
IRL,2011-Q2,2.249996379
IRL,2011-Q3,-0.049447465
IRL,2011-Q4,0.597223941
IRL,2012-Q1,-0.739586495
IRL,2012-Q2,-0.126586036
IRL,2012-Q3,-0.1544783
IRL,2012-Q4,0.394654639
IRL,2013-Q1,-0.608294967
IRL,2013-Q2,0.200913553
IRL,2013-Q3,4.12418512
IRL,2013-Q4,2.656774629
IRL,2014-Q1,8.320853236
IRL,2014-Q2,9.551779836
IRL,2014-Q3,7.774986448
IRL,2014-Q4,8.350731184
IRL,2015-Q1,29.18321408
IRL,2015-Q2,21.627918861
IRL,2015-Q3,24.642481347
IRL,2015-Q4,26.119873132
IRL,2016-Q1,-1.099619148
IRL,2016-Q2,2.696001508
IRL,2016-Q3,-1.312811132
IRL,2016-Q4,9.068201116
IRL,2017-Q1,7.276672051
IRL,2017-Q2,8.949837394
IRL,2017-Q3,13.520534901
IRL,2017-Q4,7.133942512
IRL,2018-Q1,12.75981067
IRL,2018-Q2,12.366366389
IRL,2018-Q3,8.131623312
IRL,2018-Q4,4.016010076
IRL,2019-Q1,5.05048268
IRL,2019-Q2,4.510225621
IRL,2019-Q3,5.559494723
IRL,2019-Q4,5.403122015
IRL,2020-Q1,6.483361238
IRL,2020-Q2,0.960769581
IRL,2020-Q3,11.238677219
IRL,2020-Q4,4.789661037
IRL,2021-Q1,11.79001744
IRL,2021-Q2,20.727809627
IRL,2021-Q3,11.520003122
IRL,2021-Q4,9.90370979
ITA,2008-Q1,1.178644691
ITA,2008-Q2,0.041693491
ITA,2008-Q3,-1.413232877
ITA,2008-Q4,-3.667227469
ITA,2009-Q1,-7.296198986
ITA,2009-Q2,-6.708562559
ITA,2009-Q3,-4.99520869
